position,x0,y0
0,478.734693877551,312.8979591836735
1,478.734693877551,312.8979591836735
2,473.75,318.0625
3,471.469387755102,320.204081632653
4,471.469387755102,320.204081632653
5,466.6170212765957,325.3191489361702
6,463.96078431372547,327.8235294117647
7,463.96078431372547,327.8235294117647
8,460.2448979591836,332.204081632653
9,457.70588235294116,334.94117647058823
10,455.01960784313724,337.7647058823529
11,452.4468085106383,340.8936170212766
12,450.03773584905656,343.73584905660374
13,447.1632653061224,346.3877551020408
14,445.02,348.82
15,442.04166666666663,351.2708333333333
16,439.27450980392155,353.8627450980392
17,436.11764705882354,356.3529411764706
18,433.63265306122446,358.85714285714283
19,430.375,360.6458333333333
20,427.0612244897959,363.4897959183673
21,424.09259259259255,365.4259259259259
22,420.88888888888886,367.98148148148147
23,417.88888888888886,369.88888888888886
24,414.98039215686276,371.921568627451
25,411.72549019607845,374.4705882352941
26,409.09803921568624,376.078431372549
27,405.90000000000003,378.3
28,402.1428571428571,379.75510204081627
29,398.8627450980392,382.27450980392155
30,395.29411764705884,384.0
31,392.1132075471698,386.0188679245283
32,389.469387755102,387.87755102040813
33,386.05882352941177,389.80392156862746
34,383.4117647058823,391.5686274509804
35,379.97959183673464,392.83673469387753
36,377.08,395.0
37,374.2857142857143,396.3877551020408
38,372.3877551020408,397.4897959183673
39,370.72340425531917,398.78723404255317
40,368.625,400.3333333333333
41,366.80392156862746,401.6078431372549
42,366.53061224489795,401.93877551020404
43,365.6458333333333,402.41666666666663
44,364.17021276595744,403.0
45,362.35416666666663,403.8958333333333
46,360.11764705882354,404.5686274509804
47,357.45098039215685,405.03921568627453
48,354.66,405.6
49,352.75,405.25
50,350.8723404255319,404.72340425531917
51,349.4285714285714,404.0612244897959
52,347.6,402.88
53,345.54,401.66
54,344.6862745098039,401.5098039215686
55,342.93877551020404,400.53061224489795
56,341.04,399.0
57,340.21153846153845,398.2115384615385
58,339.95918367346934,397.0204081632653
59,338.42307692307696,396.2307692307692
60,338.0,394.9807692307692
61,336.44230769230774,393.8846153846154
62,335.53846153846155,392.61538461538464
63,333.7307692307692,390.2307692307692
64,331.79166666666663,388.8333333333333
65,330.70588235294116,387.078431372549
66,328.6545454545454,385.0363636363636
67,327.22,383.94
68,326.05660377358487,382.1320754716981
69,324.84615384615387,380.2115384615385
70,323.4705882352941,379.1372549019608
71,322.3958333333333,378.10416666666663
72,321.8,377.1
73,320.5,375.83928571428567
74,318.7647058823529,374.3921568627451
75,317.55555555555554,372.72222222222223
76,316.7857142857143,371.57142857142856
77,315.3921568627451,370.19607843137254
78,314.90566037735846,368.6792452830189
79,313.8846153846154,366.7692307692308
80,312.6666666666667,365.6470588235294
81,311.96078431372547,364.1764705882353
82,310.4150943396226,361.6792452830189
83,309.4,359.98181818181814
84,308.80392156862746,358.29411764705884
85,307.625,355.8958333333333
86,306.78000000000003,353.66
87,305.66,351.48
88,304.4285714285714,348.95918367346934
89,303.0204081632653,346.55102040816325
90,301.8333333333333,344.0
91,300.8846153846154,343.11538461538464
92,300.11538461538464,342.19230769230774
93,299.3673469387755,340.55102040816325
94,298.36,338.2
95,297.4901960784314,336.70588235294116
96,296.5882352941176,334.5686274509804
97,296.04,332.36
98,295.0,330.3333333333333
99,294.16,328.8
100,293.3125,326.5625
101,292.7083333333333,325.04166666666663
102,292.55102040816325,323.3265306122449
103,292.0,320.59183673469386
104,291.2244897959183,318.95918367346934
105,290.6521739130435,316.80434782608694
106,290.60416666666663,313.91666666666663
107,289.97916666666663,311.7083333333333
108,289.51020408163265,309.59183673469386
109,289.2391304347826,306.5869565217391
