position,x0,y0
0,438.9268293,346.0487805
1,438.7560976,345.8292683
2,439.1219512,345.7073171
3,439.1621622,345.2432432
4,439.2857143,344.9285714
5,439.5526316,344.7368421
6,439.8918919,344.4594595
7,439.7073171,344.195122
8,440.0526316,343.9473684
9,440.1842105,343.4736842
10,440.5135135,343.4594595
11,440.6052632,343.6052632
12,441,343.5263158
13,441.3333333,343.3809524
14,441.6829268,343.3414634
15,442.1842105,343.3684211
16,442.2368421,343.2894737
17,442.1081081,343.2702703
18,442.2631579,343.2105263
19,442.3513514,343.2162162
20,442.8611111,343.2222222
21,443.0526316,343.4210526
22,443.8648649,343.5135135
23,443.6315789,343.4210526
24,443.7560976,343.2682927
25,443.85,343.3
26,443.972973,343.5135135
27,443.9268293,343.0487805
28,444.05,343.075
29,443.9756098,342.9512195
30,443.9756098,342.9512195
31,444.1666667,343.3095238
32,444.3809524,343.2380952
33,444.2564103,343.0512821
34,444.2564103,343.0512821
35,444.275,343
36,444.3333333,343.1282051
37,444.3333333,343.1666667
38,444.3846154,343.2307692
39,444.75,344.0277778
40,444.7894737,344.1315789
41,444.85,343.95
42,444.804878,343.8780488
43,444.8604651,343.6744186
44,444.9210526,344
45,444.7837838,343.9459459
46,445.05,344.125
47,445.15,344.05
48,445.2631579,344.3421053
49,445.2631579,344.3421053
50,445.2631579,344.3421053
51,445.4473684,344.3684211
52,445.4871795,344.3333333
53,445.55,344.2
54,445.55,344.2
55,445.4871795,344.3333333
56,445.6,344
57,445.6,344
58,445.6341463,344
59,445.575,344.05
60,445.452381,344.2619048
61,445.452381,344.2619048
62,445.3953488,344.3255814
63,445.3809524,344.2142857
64,445.2857143,344.4047619
65,445.097561,344.6341463
66,445.097561,344.6341463
67,445.0714286,344.5714286
68,445.097561,344.6341463
69,445.0714286,344.5714286
70,445.097561,344.6341463
71,445.097561,344.6341463
72,445.2380952,344.5714286
73,445.4772727,344.5681818
74,445.4102564,345.1282051
75,445.4102564,345.1282051
76,445.744186,344.9302326
77,445.7674419,345.2325581
78,445.7954545,345.3636364
79,445.8,345.6
80,445.8,345.6
81,445.8636364,345.5681818
82,445.7906977,345.8139535
83,445.7906977,345.8139535
84,445.7906977,345.8139535
85,445.7906977,345.8139535
86,445.7272727,345.8409091
87,445.7272727,345.8409091
88,445.7272727,345.8409091
89,445.7272727,345.8409091
90,445.744186,345.9069767
91,445.8095238,345.8809524
92,445.9268293,345.9512195
93,445.9268293,345.9512195
94,445.7142857,346.2857143
95,445.6511628,346.3023256
96,445.3953488,346.8604651
97,445.3953488,346.8604651
98,445.3777778,346.9555556
99,445.375,346.875
100,445.4130435,346.673913
101,445.4130435,346.673913
102,445.4130435,346.673913
103,445.3333333,346.7777778
104,445.1860465,346.8372093
105,445.0238095,346.8809524
106,445.0238095,346.8809524
107,445.0238095,346.8809524
108,445.0238095,346.8809524
109,445.2954545,346.75
110,445.3777778,346.6444444
111,445.5116279,346.3953488
112,445.5454545,346.4318182
113,445.5348837,346.5348837
114,445.5952381,346.5238095
115,445.5952381,346.5238095
116,445.5952381,346.5238095
117,445.6818182,346.2727273
118,445.6818182,346.2727273
119,445.6818182,346.2727273
120,445.6818182,346.2727273
121,445.6744186,346.4883721
122,445.6744186,346.4883721
123,445.6904762,346.547619
124,445.7674419,346.1627907
125,445.7674419,346.1627907
126,445.7674419,346.1627907
127,446.0238095,345.8809524
128,446.0238095,345.8809524
129,446.0238095,345.8809524
130,445.9512195,346
131,445.9512195,346
132,446.0238095,345.9761905
133,446.0930233,345.8604651
134,445.9512195,346
135,445.9285714,346.1190476
136,446,346
137,446,346
138,446,346
139,446.0487805,345.9268293
140,446.0238095,345.8809524
141,446.0238095,345.8809524
142,446.0238095,345.8809524
143,446.0238095,345.8809524
144,446.0238095,345.8809524
145,446.0238095,345.8809524
146,446.0238095,345.8809524
147,446.0238095,345.8809524
148,446.0238095,345.8809524
149,446.0238095,345.8809524
150,446.0238095,345.8809524
151,446.0238095,345.8809524
152,446.0238095,345.8809524
153,446.0238095,345.8809524
154,446.0238095,345.8809524
155,446.0238095,345.8809524
156,446.0238095,345.8809524
157,446.0238095,345.8809524
158,446.0238095,345.8809524
159,446.0238095,345.8809524
160,446.0238095,345.8809524
161,446.0238095,345.8809524
162,446.0238095,345.8809524
163,446.0238095,345.8809524
164,446.0238095,345.8809524
165,446.0238095,345.8809524
166,446.0238095,345.8809524
167,446,345.7380952
168,446,345.7380952
169,446,345.7380952
170,446,345.7380952
171,446,345.7380952
172,446,345.7380952
173,446,345.7380952
174,446,345.7380952
175,446,345.7380952
176,446,345.7380952
177,446,345.7380952
178,446,345.7380952
179,446.0232558,345.7906977
180,446,345.7380952
181,446,345.7380952
182,446.0232558,345.7906977
183,446,345.7380952
184,446,345.7380952
185,446,345.7380952
186,446,345.7380952
187,446,345.7380952
188,446,345.7380952
189,446,345.7380952
190,446,345.7380952
191,445.9767442,345.8604651
192,446,345.7380952
193,445.9767442,345.8604651
194,446,345.7380952
195,446,345.7380952
196,446,345.7380952
197,445.9512195,345.7317073
198,445.9512195,345.7317073
199,445.9512195,345.7317073
200,445.9512195,345.7317073
201,445.9512195,345.7317073
202,445.9268293,345.7804878
203,445.875,345.775
204,445.875,345.775
205,445.875,345.775
206,445.875,345.775
207,445.875,345.775
208,445.875,345.775
209,445.875,345.775
210,445.875,345.775
211,445.875,345.775
212,445.875,345.775
213,445.875,345.775
214,445.9512195,345.7317073
215,445.875,345.775
216,445.875,345.775
217,445.9512195,345.7317073
218,445.875,345.775
219,445.875,345.775
220,445.875,345.775
221,445.875,345.775
222,445.9512195,345.7317073
223,445.875,345.775
224,445.875,345.775
225,445.875,345.775
226,445.875,345.775
227,445.875,345.775
228,445.875,345.775
229,445.875,345.775
230,445.875,345.775
231,445.875,345.775
232,445.8536585,345.902439
233,445.8536585,345.902439
234,445.875,345.775
235,445.875,345.775
236,445.875,345.775
237,445.8536585,345.902439
238,445.875,345.775
239,445.875,345.775
240,445.875,345.775
241,445.875,345.775
242,445.9512195,345.7317073
243,445.9512195,345.7317073
244,445.9512195,345.7317073
245,445.9512195,345.7317073
246,445.9512195,345.7317073
247,445.9512195,345.7317073
248,445.9512195,345.7317073
249,445.9512195,345.7317073
250,445.9512195,345.7317073
251,445.95,345.825
252,445.95,345.825
253,445.975,345.95
254,445.975,345.95
255,445.9772727,345.9545455
256,446.1304348,345.826087
257,446.212766,345.787234
258,446.212766,345.787234
259,446.212766,345.787234
260,446.1304348,345.826087
261,446.173913,345.8913043
262,445.9534884,346.3488372
263,445.9285714,346.452381
264,445.9069767,346.3953488
265,445.9069767,346.3953488
266,445.9285714,346.452381
267,445.9285714,346.452381
268,445.9285714,346.452381
269,445.8604651,346.4651163
270,445.9285714,346.452381
271,445.9285714,346.452381
272,445.9285714,346.452381
273,445.9285714,346.452381
274,445.9285714,346.452381
275,445.9285714,346.452381
276,445.9285714,346.452381
277,445.9285714,346.452381
278,445.9534884,346.4883721
279,445.9534884,346.4883721
280,446,346.5581395
281,445.8,346.875
282,446.2093023,346.7209302
283,445.9285714,346.8571429
284,446.1555556,346.7555556
285,446.1489362,346.7659574
286,445.8837209,347.0930233
287,445.8837209,347.0930233
288,445.8863636,347.0227273
289,445.8863636,347.0227273
290,445.8863636,347.0227273
291,445.9285714,347
292,445.7045455,347.1136364
293,445.7045455,347.1136364
294,445.6,347.2
295,445.6086957,347.1304348
296,445.6136364,347.1363636
297,445.6136364,347.1363636
298,445.5813953,347.1162791
299,445.6,347
300,445.4418605,347.1395349
301,445.55,347.075
302,445.4186047,347.1860465
303,445.4186047,347.1860465
304,445.4186047,347.1860465
305,445.2608696,347.2826087
306,445.2826087,347.3478261
307,445.3913043,347.3043478
308,445.6190476,347.1666667
309,445.3076923,347.3076923
310,445.3076923,347.3076923
311,445.1578947,347.3421053
312,445.3023256,347.3488372
313,445.3023256,347.2790698
314,445.2631579,347.3947368
315,444.9,347.275
316,444.826087,347.173913
317,444.9111111,347.0888889
318,444.6818182,347.0227273
319,444.6818182,347.0681818
320,444.3953488,346.8837209
321,444.5,346.8181818
322,444.5813953,346.7906977
323,444.5813953,346.7906977
324,444.5,346.8181818
325,444.5,346.8181818
326,444.4,346.8444444
327,444.4,346.8444444
328,444.4,346.8444444
329,444.5,346.8181818
330,444.4545455,346.8863636
331,444.4545455,346.8863636
332,444.6521739,347.1521739
333,444.7608696,347.173913
334,444.6666667,347.1777778
335,444.5111111,347.1777778
336,444.5348837,347.3488372
337,444.6428571,347.3333333
338,444.5,347.2619048
339,444.8181818,347.4318182
340,444.8181818,347.4318182
341,444.5714286,347.3333333
342,444.5714286,347.3333333
343,444.4634146,347.3170732
344,444.5238095,347.4047619
345,444.375,347.45
346,444.4146341,347.5121951
347,444.2926829,347.5121951
348,444.2926829,347.5121951
349,444.1162791,347.3488372
350,444.675,347.65
351,444.675,347.65
352,444.4878049,347.4390244
353,444.4878049,347.4390244
354,444.4878049,347.4390244
355,444.6,347.45
356,444.8157895,347.6315789
357,444.6,347.45
358,444.8571429,347.547619
359,444.9047619,347.4761905
360,444.9047619,347.4761905
361,444.9047619,347.4761905
362,444.9047619,347.4761905
363,445.0232558,347.5581395
364,444.8372093,347.627907
365,444.8372093,347.627907
366,444.5853659,347.4878049
367,444.55,347.7
368,444.6511628,347.9302326
369,444.5952381,347.952381
370,444.4878049,347.902439
371,444.1025641,347.5897436
372,444.15,347.7
373,444.15,347.7
374,444.15,347.7
375,444.0487805,347.7560976
376,443.7692308,347.6153846
377,443.7692308,347.6153846
378,443.9285714,347.9761905
379,443.8536585,347.9512195
380,443.8536585,347.9512195
381,443.8536585,347.9512195
382,443.7179487,347.6923077
383,443.7179487,347.6923077
384,443.7179487,347.6923077
385,443.7179487,347.6923077
386,443.6666667,347.7948718
387,443.7631579,347.8421053
388,443.5,347.6944444
389,443.5526316,348.0789474
390,443.4444444,347.8055556
391,443.2820513,348.2051282
392,442.9189189,348.0540541
393,442.9189189,348.0540541
394,442.8648649,348.2162162
395,442.8974359,348.2307692
396,442.8421053,348.2631579
397,442.8421053,348.2631579
398,442.8421053,348.2631579
399,442.8421053,348.2631579
400,442.8421053,348.2631579
401,442.7631579,348.3421053
402,442.8378378,348.4594595
403,442.8717949,348.7435897
404,442.8947368,349
405,443.0555556,349.1944444
406,443.0833333,349.4166667
407,443.0285714,349.4285714
408,443,349.6285714
409,442.7777778,349.2777778
410,442.4848485,349.1212121
411,442.4117647,349.0588235
412,442.4117647,349.0588235
413,442.4117647,349.0588235
414,442.4117647,349.0588235
415,442.4117647,349.0588235
416,442.4117647,349.0588235
417,442.4117647,349.0588235
418,442.4117647,349.0588235
419,442.5,349
420,442.6470588,349.2058824
421,442.7142857,349.3428571
422,442.6666667,349.3611111
423,442.7777778,349.3888889
424,442.9411765,349.6176471
425,442.8823529,349.5
426,442.9393939,349.4848485
427,442.9230769,349.3846154
428,442.9230769,349.3846154
429,442.9444444,349
430,442.9444444,349
431,442.9444444,349
432,442.9722222,348.8888889
433,443.0540541,348.9189189
434,443.0555556,348.8333333
435,442.9117647,348.5882353
436,443.3243243,348.7027027
437,443.3783784,348.6216216
438,443.3783784,348.6216216
439,443.5405405,348.6216216
440,443.3235294,348.3235294
441,443.3235294,348.3235294
442,443.6666667,348.3055556
443,443.75,348.2222222
444,443.6944444,348.1666667
445,443.6,348
446,443.4871795,348.0769231
447,443.3243243,347.8108108
448,443.3243243,347.8108108
449,443.6,347.75
450,443.6,347.85
451,443.7222222,347.8888889
452,443.5135135,347.7837838
453,444,347.6428571
454,444.1627907,347.5116279
455,444.097561,347.3902439
456,444.097561,347.3902439
457,444,347.35
458,444,347.35
459,444,347.35
460,444.1666667,347.1666667
461,444.225,347.15
462,444.1666667,347.1428571
463,444.5227273,346.9545455
464,444.5714286,346.9285714
465,444.372093,346.9069767
466,444.5,346.8571429
467,444.5609756,346.9268293
468,445.3170732,346.9268293
469,445.3170732,346.9268293
470,445.2142857,346.7142857
471,445.372093,346.6046512
472,445.8292683,346.5365854
473,445.8292683,346.5365854
474,445.8461538,346.5128205
475,445.875,346.45
476,446.0909091,346.2272727
477,446.1190476,346.3095238
478,446.1590909,346.2727273
479,446.2790698,346.255814
480,446.2790698,346.255814
481,446.2790698,346.255814
482,446.6052632,346.2631579
483,446.6052632,346.2631579
484,446.8292683,346.097561
485,446.8292683,346.097561
486,446.675,346.225
487,446.9285714,346.0952381
488,446.9756098,346.1219512
489,447.1025641,346.1538462
490,447,345.95
491,446.8780488,345.9756098
492,446.8780488,345.9756098
493,446.925,345.9
494,446.925,345.9
495,447,345.8421053
496,447.0512821,345.8717949
497,447,345.8421053
498,447,345.8421053
499,446.825,345.95
500,446.8717949,345.8717949
501,446.8717949,345.8717949
502,446.952381,345.6904762
503,446.952381,345.6904762
504,446.952381,345.6904762
505,447.0697674,345.6046512
506,447.0697674,345.6046512
507,447.1904762,345.5238095
508,447.1219512,345.5121951
509,447.1904762,345.5238095
510,447.45,345.425
511,447.6153846,345.2051282
512,447.6153846,345.2051282
513,447.6341463,345.5853659
514,448.1282051,345.1282051
515,448.097561,345.3170732
516,448.097561,345.3170732
517,448.3589744,345.2051282
518,448.5,345.2105263
519,448.1891892,345.3783784
520,448.1891892,345.3783784
521,448.4102564,345.2051282
522,448.4102564,345.2051282
523,448.5128205,345.0512821
524,448.5128205,345.0512821
525,448.5128205,345.0512821
526,448.4358974,344.974359
527,448.4358974,344.974359
528,448.5,345
529,448.5,345
530,448.5,345
531,448.5,345
532,448.4871795,344.9487179
533,448.5,345
534,448.5,345
535,448.5,345
536,448.5,345
537,448.5,345
538,448.5,345
539,448.5,345
540,448.5,345
541,448.5,345
542,448.4358974,344.974359
543,448.425,344.925
544,448.6341463,344.7804878
545,448.6341463,344.7804878
546,448.6341463,344.7804878
547,448.6341463,344.7804878
548,448.775,344.875
549,448.775,344.875
550,449.025,344.775
551,449.2432432,344.7567568
552,449.3421053,344.7631579
553,449.8157895,344.6315789
554,449.4358974,344.8717949
555,449.5789474,344.9736842
556,449.4864865,345.1891892
557,449.5405405,345.3513514
558,449.5263158,345.3947368
559,449.8571429,345.2857143
560,449.3076923,345.6153846
561,449.5,345.7142857
562,449.4186047,345.8372093
563,449.05,345.925
564,448.9189189,346.0540541
565,448.6585366,346.195122
566,448.5384615,346.3076923
567,448.2941176,346.5588235
568,447.9210526,346.5263158
569,447.6578947,346.5526316
570,447.775,346.8
571,447.95,346.925
572,447.8780488,347.0243902
573,447.8809524,347.0714286
574,447.2894737,346.9736842
575,447.45,347.225
576,447.2682927,347.3414634
577,447.3170732,347.5121951
578,446.8684211,347.3684211
579,446.9,347.225
580,446.7567568,347.2972973
581,446.4054054,347.1891892
582,446.25,347.325
583,445.974359,347.1025641
584,445.9,347.075
585,445.9,347.075
586,446.1052632,347.2631579
587,446.1052632,347.2631579
588,446.0540541,347.2972973
589,446.0526316,347.3684211
590,446.0526316,347.3684211
591,446.3428571,347.5714286
592,446.6153846,347.8974359
593,446.6153846,347.8974359
594,446.6315789,347.8421053
595,446.6216216,347.7567568
596,446.6216216,347.7567568
597,446.6111111,347.8333333
598,446.6571429,347.9428571
599,447.0967742,348.3548387
600,447.0967742,348.3548387
601,447.0967742,348.3548387
602,447.0967742,348.3548387
603,447.2424242,348.6363636
604,447.2424242,348.6363636
605,447.2424242,348.6363636
606,447.0588235,348.6470588
607,446.8108108,348.6756757
608,446.9444444,348.8333333
609,446.4722222,348.4722222
610,446.2307692,348.2307692
611,446.1538462,348.2564103
612,445.9166667,347.9444444
613,445.8648649,348.2162162
614,445.8648649,348.2162162
615,445.8648649,348.2162162
616,445.8333333,348.4444444
617,445.8648649,348.3783784
618,445.7714286,348.4571429
619,445.7714286,348.4571429
620,445.9090909,348.7272727
621,445.7741935,348.6774194
622,445.7741935,348.6774194
623,445.7741935,348.6774194
624,445.7741935,348.6774194
625,445.7741935,348.6774194
626,445.7741935,348.6774194
627,445.6969697,348.3939394
628,445.6969697,348.3939394
629,445.6060606,348.3939394
630,445.4375,348.25
631,445.4242424,348.3939394
632,445.3823529,348.4117647
633,445.3142857,348.2857143
634,445.2121212,348.030303
635,445,348.1470588
636,444.6666667,347.5833333
637,444.5405405,347.6756757
638,444.5,347.1052632
639,444.4473684,347
640,444.2702703,346.6216216
641,444.2702703,346.6216216
642,444.0277778,346.5555556
643,443.8055556,346.1944444
644,443.8055556,346.1944444
645,443.7142857,346.1428571
646,443.5526316,346.2631579
647,443.5526316,346.2631579
648,443.6,346.15
649,443.7567568,345.7837838
650,443.7567568,345.7837838
651,443.2820513,345.6923077
652,442.925,345.8
653,442.925,345.8
654,442.8684211,345.4736842
655,442.8684211,345.4736842
656,442.8205128,345.4615385
657,442.4615385,345.8205128
658,442.4615385,345.8205128
659,442.4871795,345.7948718
660,442.4736842,345.8947368
661,442.4736842,345.8947368
662,441.9,346.1
663,441.925,346.075
664,441.8947368,346.1052632
665,441.875,345.975
666,441.875,345.975
667,441.425,346.15
668,441.5952381,346.0238095
669,441.8292683,345.6341463
670,441.6904762,345.5952381
671,441.5952381,345.547619
672,441.5952381,345.547619
673,441.8717949,345.2820513
674,442.1162791,345.1395349
675,442.2045455,345.1363636
676,442.2045455,345.1363636
677,442.2045455,345.1363636
678,442.047619,345.2857143
679,442.0243902,345.2439024
680,442.025,345.1
681,441.9756098,345.0731707
682,442.3,344.775
683,442.175,344.625
684,442.15,344.45
685,442.2307692,344.2307692
686,442.6428571,344.1428571
687,442.6428571,344.047619
688,442.5952381,343.9761905
689,442.6341463,343.9268293
690,442.55,343.9
691,442.55,343.9
692,442.65,343.725
693,442.8684211,343.6052632
694,442.6,343.575
695,442.7435897,343.5384615
696,442.5227273,343.4318182
697,443.372093,343.3953488
698,443.372093,343.4651163
699,443.3658537,343.5121951
700,443.2564103,343.5897436
701,443.1707317,343.3170732
702,443.4146341,343.2195122
703,443.8636364,343.1818182
704,443.7073171,343.0487805
705,443.7073171,343.0487805
706,443.4358974,342.9230769
707,443.4358974,342.9230769
708,443.5,342.8947368
709,443.625,342.85
710,443.5853659,342.6829268
711,443.952381,342.9047619
712,444.15,342.825
713,443.9761905,342.5952381
714,444,342.5581395
715,444,342.5581395
716,444,342.5581395
717,444,342.5
718,444,342.5
719,444.1463415,342.5365854
720,444.195122,342.4634146
721,444.1904762,342.5238095
722,444.1860465,342.4651163
723,444.1136364,342.5
724,444.1162791,342.4418605
725,444.1162791,342.4418605
726,444.0232558,342.2325581
727,444.0232558,342.2325581
728,444.0232558,342.2325581
729,444.0714286,342.2142857
730,444.1707317,342.2439024
731,444.1707317,342.2439024
732,444.2439024,342.195122
733,444.4146341,342.6097561
