"time" "x" "y" "speed" "angle"
"1" 0 51.834796961663 56.4951090459248 NA NA
"2" 0.5 50.170401505228 74.5940470795855 90.8765330244408 NA
"3" 1 52.8116299282344 90.0673165273534 78.4853736351116 -0.260769752986889
"4" 1.5 55.3700019835405 103.644197650353 69.0791156214099 -0.017185196281543
"5" 2 57.4055826308613 111.770279705494 41.8857965599969 -0.0591969308818498
"6" 2.5 55.9325158392905 122.581666926711 54.5563972920506 0.380866397530813
"7" 3 56.1218468015613 123.464912179461 4.51654843265235 -0.34658028179536
"8" 3.5 56.1930742053738 123.199857048211 1.3722933875071 -2.66790519289259
"9" 4 51.9355813153568 124.052360898925 21.7100256356528 -2.03094363045675
"10" 4.5 51.8617031918346 124.058012014328 0.37046970997851 0.121278847107939
"11" 5 51.973432452717 124.117883291034 0.633798026024675 -2.57332628087581
"12" 5.5 48.7831630214512 125.668656270711 17.736062047819 2.19720842605351
"13" 6 49.7578201284273 126.634171382777 6.85962081278338 -1.90844481129541
"14" 6.5 51.8900345401298 128.469910357836 14.0679386212252 -0.0698669764197548
"15" 7 52.5491947290086 129.089269275168 4.52243745971677 0.0434581823719765
"16" 7.5 54.8876153333818 128.27679876221 12.3777211729202 -1.08867351719008
"17" 8 58.0665235879832 129.230252349096 16.5940738168158 0.625789685077883
"18" 8.5 61.8089592881905 129.387304032111 18.7286479766455 -0.249453131819148
"19" 9 69.7387769655054 128.605865704105 39.8411389947413 -0.140167648156245
"20" 9.5 76.6432532555405 127.259943648158 35.1721832633199 -0.0942932164957228
"21" 10 82.2803935001298 126.063967066461 28.8130656652223 -0.0165398397205188
"22" 10.5 89.3402422108626 123.048191603617 38.385011873361 -0.194649388424899
"23" 11 96.0849427152191 117.864675906336 42.5322876992979 -0.251546641229446
"24" 11.5 102.624296741433 112.800608298711 41.3545438297782 -0.00367808277931955
"25" 12 107.95711234773 106.520760223538 41.1932683026029 -0.207835463624513
"26" 12.5 109.105030550314 100.903219365852 28.668136269906 -0.502456293928929
"27" 13 108.710815988333 95.8765738277011 25.210399881344 -0.279835026828355
"28" 13.5 108.352830070395 95.5115233520469 2.55644170292032 -0.697363009309863
"29" 14 106.165316245255 91.6719278362105 22.0950845553998 0.257766799500909
"30" 14.5 101.075502366804 87.0965581179474 34.2199552074784 -0.320713517298688
"31" 15 96.521310775286 85.2616968510833 24.5496318306858 -0.349222196270224
"32" 15.5 90.9179555170405 82.0208918572105 32.3652619170682 0.141362602318509
"33" 16 85.0558571676496 77.9750903338105 35.6134479602431 0.0797309596602714
"34" 16.5 80.9783485777758 75.9439572715635 22.7769498710032 -0.141941962137389
"35" 17 79.3179149497242 73.6473134250677 14.1700500976635 0.482660501709818
"36" 17.5 75.2670860573518 68.2660308573992 33.6776694518679 -0.019282298746345
"37" 18 70.8985450949895 63.8872261920677 30.9265583426959 -0.138957908473294
"38" 18.5 66.8832725895405 57.5420310434605 37.544611719567 0.220032446330472
"39" 19 61.5509578032697 53.037113255023 34.9026737014743 -0.305117013582846
"40" 19.5 58.5093834044084 47.6697468472105 30.8463113595135 0.353750957214572
"41" 20 54.7341167553014 43.2721364956888 28.9791369245493 -0.193838963626644
"42" 20.5 49.4185566872072 40.1259659822693 30.884287160718 -0.3269718646612
"43" 21 44.8626970239661 36.7472196513595 28.3600881697257 0.103693429742916
"44" 21.5 45.0884810853883 36.2608520673192 2.68109991047279 1.36729620634179
"45" 22 44.8324753441492 36.2774468233627 1.28271514253495 -2.070147960567
"46" 22.5 44.2067252405633 36.6270681609151 3.58398616002401 -0.444784847085301
"47" 23 43.8554326442516 36.5586357452105 1.78947955941462 0.701908387845486
"48" 23.5 41.8661906956596 36.6373949842105 9.95400239572798 -0.231964211778064
"49" 24 38.0530565883454 36.6755185933325 19.0666234097276 0.029574281224017
"50" 24.5 35.0253450130961 36.1260657710105 15.3858179721264 0.189518555739264
"51" 25 31.3467535556492 35.9040648123844 18.4264209332903 -0.119244575654227
"52" 25.5 30.5828654567905 35.7613499104105 3.88552625400783 0.124421361380218
