position,x0,y0,x1,y1
0,406.6195652,121.5978261,385.097561,120.9634146
1,407.2899975,121.4952148,386.3518022,121.1861276
2,408.4271938,121.4100932,386.816752,121.0464586
3,409.8172645,121.2682212,388.3087851,121.0807929
4,410.5519381,120.9629331,388.8852818,121.1250036
5,411.5932728,120.630629,389.8549039,121.411788
6,412.5211798,120.0098934,390.939903,121.6109097
7,412.934886,119.5154007,391.7747973,121.5776374
8,413.7900283,118.9859665,393.0352324,121.2631248
9,414.6865272,118.4312635,394.3139084,121.0446701
10,415.4901155,117.945505,395.3810568,120.776274
11,416.1033037,117.6335562,396.337604,120.8769756
12,416.9134494,117.3835638,397.0446094,120.8457447
13,417.5621827,117.1586829,398.2294969,120.2466502
14,418.2453139,116.8149049,398.5526662,120.0842464
15,418.6276287,116.3575549,398.5268285,120.1046053
16,418.9989397,116.2322078,399.4831541,120.0171252
17,419.2702355,116.3742008,400.3326053,119.7810681
18,419.9645146,116.0636304,400.5185487,119.5586337
19,420.5138214,115.6944325,401.1329867,119.4369961
20,421.2484042,115.3448184,401.8049909,119.4082787
21,422.2974429,114.9787891,402.2770031,119.4790031
22,423.4822315,114.4329683,403.9206773,119.5544042
23,424.5483114,113.6658022,404.6247443,119.4460345
24,425.878177,112.4118916,405.5795487,119.1890729
25,427.0175854,111.5130864,407.0161683,118.6918861
26,427.7760428,110.8381719,408.3650822,118.2225455
27,428.4078109,109.9881978,409.6276874,117.8882054
28,429.5639121,109.3692774,411.5087735,117.5929309
29,430.0549797,108.0597553,412.1558201,117.4292233
30,430.4671242,106.616077,413.4289325,116.753582
31,430.7825173,105.399319,414.7484951,116.1353312
32,430.9041132,105.0736177,415.0918534,116.2161299
33,431.0585588,105.3872689,415.6052477,116.2570994
34,431.2355599,105.6823157,415.641752,116.2512272
35,431.2960538,105.8694554,415.5833899,116.4320705
36,431.6011054,106.1588342,415.6415152,116.3423709
37,431.4715012,106.5096192,415.5769566,116.4727809
38,431.6345856,106.8682425,415.166312,116.6783135
39,431.743709,107.2328365,415.4485263,116.5564946
40,432.1658652,107.3566915,415.4542462,116.5829853
41,432.3158989,107.3653522,415.8541564,116.6386516
42,433.0031657,107.1446121,416.3606481,116.6341111
43,433.2743682,107.1295992,416.7855064,116.5832247
44,433.7169262,107.0143229,417.3465224,116.4392641
45,433.7921632,107.0174703,417.798938,116.2057704
46,433.8683707,107.0399996,417.991075,116.1474037
47,434.2028893,106.8727521,418.0766912,116.1319209
48,434.5580223,107.1346294,418.3663335,115.9185844
49,434.405531,107.3341756,418.2257595,115.8689102
50,434.4875201,107.4006691,418.3638842,115.7689907
51,434.8178846,107.5804342,418.7525542,115.4998125
52,435.1776419,107.7563537,419.056493,115.3266428
53,436.2283736,108.1402794,419.4125551,115.0265229
54,436.7000781,108.574412,419.641998,114.8981519
55,436.8620197,108.8227906,419.7577063,114.7446845
56,437.2672217,109.3520531,419.9686977,114.4762938
57,438.0157489,110.0162204,420.6045247,114.0536578
58,438.9315204,110.7230563,421.2416833,113.6962222
59,439.2476766,111.096048,421.3675274,113.5064422
60,439.8044333,111.5395089,421.8006197,113.2033775
61,440.2702399,111.5680531,422.1621767,112.9320007
62,441.3353441,111.6467299,422.1768585,112.7635564
63,442.1204965,111.7950417,422.8868071,112.57493
64,443.4284761,111.9599566,424.3984602,112.2786526
65,444.4449213,112.2880671,425.2168934,112.3101913
66,445.3520749,112.5259746,426.3768896,111.8674574
67,446.7748364,112.8361446,426.868128,111.6043312
68,447.4795163,113.0652716,428.2853763,111.0026317
69,448.5674065,112.8984381,429.2373218,110.5779741
70,449.3836988,112.6655325,430.2987737,110.9548268
71,451.3378213,112.6949117,432.0148856,111.2307248
72,452.4497911,112.7184121,433.0917681,111.1893948
73,453.7682694,112.4361804,434.1808553,111.0934904
74,454.72666,112.2382328,435.6048865,110.9691309
75,456.2291632,111.9763827,437.2097377,111.2109759
76,457.1493829,111.6618646,437.9531954,111.4767225
77,458.6316582,110.7794154,439.3457638,111.8370073
78,458.9530772,110.144878,439.9643467,111.8339275
79,460.2839866,109.6971339,440.8386061,111.8848695
80,461.0606392,109.4424732,441.7564645,111.7612797
81,462.0338637,109.0224062,442.7727753,111.7282505
82,462.7382065,107.6744213,443.5545193,111.4903687
83,463.5358219,107.0268257,444.4434482,111.7658197
84,463.793566,106.6681673,444.9606393,111.7684819
85,464.1065482,106.3080533,445.9542918,111.7790229
86,464.29328,105.9201213,446.5117589,111.8203272
87,464.4452975,105.5905348,446.7075699,111.8689996
88,464.2449403,105.3741319,446.7991884,111.8048114
89,464.6044728,105.0438034,447.0611826,111.7227397
90,464.9564651,104.9543741,447.3515145,111.8215053
91,464.9545981,105.2115487,447.1609064,111.9153115
92,465.358493,105.1094692,447.3839791,111.7007614
93,465.7328324,105.4313058,447.4888455,111.6109725
94,466.19098,105.4072983,447.6520087,111.4956295
95,466.4835259,105.5303983,448.0382342,111.2116285
96,467.1166778,105.1894452,448.7263464,110.908554
97,467.4599216,104.6300525,448.9746474,110.7761026
98,468.3814496,103.7837199,449.3942823,110.5726726
99,468.1336216,103.8398603,449.8328892,110.531092
100,468.006589,103.8439224,450.0212521,110.5323509
101,468.1416286,103.4850064,450.4595845,110.4939161
102,468.1762389,103.290746,450.7162729,110.5264491
103,467.8841204,103.4153874,451.1433209,110.5947542
104,468.0390687,102.7534396,451.3425135,110.66571
105,467.9967479,102.3764674,451.7503176,110.6092922
106,467.7470636,102.2864015,451.8655759,110.6096206
107,467.839735,102.12029,452.1376981,110.6039872
108,467.8470225,101.9860996,452.3565351,110.6316084
109,467.5560676,101.9933239,452.2173241,110.6247529
110,467.3955787,101.9077167,452.4037519,110.5910869
111,467.3520197,101.6789621,452.5337606,110.6051907
112,467.164479,101.504051,452.9765362,110.5088237
113,467.0391268,101.3038127,453.2745919,110.4499257
114,467.0670415,101.0391303,453.3358259,110.5112985
115,466.9045814,101.0321009,453.6358452,110.5168721
116,466.6591446,101.0169927,453.6572622,110.6125087
117,466.4718797,101.432371,453.4407301,110.8828773
118,466.3656189,101.4103913,453.4531051,110.8936173
119,466.3125977,101.3654646,453.4703855,111.0249046
120,466.3312621,101.1111865,453.4735405,111.063792
121,466.3479834,100.9390409,453.500315,111.0358081
122,466.4179118,100.8846496,453.413349,111.0105649
123,466.2423487,100.9312759,453.6219539,111.1039964
124,466.2135385,101.1375376,453.7424338,111.1277621
125,465.9284079,101.2776115,453.9935673,111.097577
126,465.886231,101.1307303,454.1082327,111.0482841
127,465.8634899,101.3488172,454.1621711,111.057061
128,465.8840486,100.861861,454.265408,111.2082699
129,465.760314,100.8991255,454.3862972,111.4397758
130,465.3751663,100.9003297,454.5097475,111.5242607
131,465.1276927,101.0651735,454.415193,111.5233966
132,464.911537,100.9001562,454.5427169,111.5989362
133,464.749103,100.8332553,454.4862921,111.7282908
134,464.5328955,100.5611821,454.5577172,111.6975885
135,464.4457179,100.5767499,454.5098282,111.8000096
136,464.4198108,100.6216543,454.4973024,111.8045988
137,464.3874936,100.7930997,454.5814843,111.8528076
138,463.9992309,100.7976642,454.5310133,112.0129981
139,463.4202369,100.5329727,454.4698587,112.0504803
140,463.2907949,100.5307888,454.5003221,112.0458151
141,462.6970564,100.148811,454.4923918,112.1143951
142,462.6232955,99.90294978,454.4608944,112.1324756
143,462.591368,99.84973587,454.5414967,112.1287374
144,462.3769976,99.41457763,454.927472,112.1574051
145,462.2814484,99.59529733,454.939192,112.152268
146,461.8870382,99.21717726,454.962522,112.1859581
147,461.8751502,99.19069038,454.8940489,112.0268245
148,461.9242824,99.18695375,454.9172797,112.0173444
149,461.7719125,99.08078716,454.9174482,111.8569817
150,461.4647104,98.7803178,455.1410242,111.4843649
151,461.3929061,98.47536307,455.286652,111.3702314
152,461.237104,98.17108092,455.4191291,111.3553936
153,460.887336,97.90609716,455.3286157,111.0900918
154,460.5426369,97.93729137,455.7336247,110.8632873
155,460.2435542,97.6790203,455.5971267,110.4372261
156,459.9844316,97.56617156,455.7879842,110.3679017
157,459.5177607,97.37566984,455.7915036,110.3067986
158,459.3658248,96.98168939,456.2722508,110.1438249
159,459.0962521,96.59731175,456.2043991,110.2348488
160,458.6702389,96.57690706,456.4436555,110.0213948
161,457.6069481,96.77764464,456.8742897,109.8823359
162,456.3620208,96.42796027,456.6266303,109.7817923
163,455.4498911,96.37232952,456.8747094,109.6617728
164,455.3300011,96.52628651,457.2463902,109.1983335
165,454.8526093,96.578019,457.7319158,109.0189489
166,454.6303759,96.8455934,457.8243261,108.8893373
167,454.1681035,97.02402305,457.7656556,108.843373
168,454.412928,97.45179188,458.2276861,108.6223638
169,453.9865523,97.45351292,458.2543365,108.4754602
170,453.6909306,97.48773827,458.373012,108.4793368
171,453.6401529,97.49904465,458.4293369,108.4974169
172,453.230786,97.35370686,458.6908744,108.316872
173,453.0080555,97.44910593,458.6421775,108.194334
174,452.9667919,97.48937586,458.6579091,108.1052663
175,452.89379,97.5791053,458.6131948,108.1099636
176,452.5644594,97.74149076,458.4952933,108.1009938
177,452.0834347,98.09288339,458.5337909,108.0339422
178,451.8984042,98.19360572,458.5456011,108.0124743
179,451.3960852,98.50403938,458.5012865,107.9632938
180,450.9333054,98.75915509,458.4348758,107.9038635
181,450.1359753,98.9963821,458.2061936,107.9096349
182,450.0073904,99.25691025,458.1728746,107.8303525
183,449.6583396,99.49291004,458.0606414,107.7999358
184,449.468783,99.79972675,458.101293,107.6832649
185,448.8737317,100.1044039,458.0517276,107.7463075
186,448.3326723,100.248711,458.0592898,107.6730434
187,447.9539154,100.2256156,457.6589669,107.8614757
188,447.2999407,100.5445344,457.6013166,107.7706847
189,446.92618,100.8601154,457.579493,107.9008733
190,446.4267957,101.1045788,457.7031812,107.8235185
191,446.2201789,101.3158416,457.6230815,107.6411089
192,446.2622124,101.4035345,457.4249593,107.5960947
193,446.0250598,101.7425125,457.4456112,107.6897384
194,445.9526819,101.9374595,457.4077426,107.7142806
195,445.2299907,102.3297563,457.4206687,107.7189722
