position,x0,y0
0,429.22222222222223,301.81111111111113
1,429.2555555555556,301.77777777777777
2,429.3258426966292,301.6629213483146
3,429.3095238095238,301.4642857142857
4,429.7228915662651,301.48192771084337
5,429.7951807228916,301.50602409638554
6,430.0731707317073,301.5975609756098
7,430.2560975609756,301.4390243902439
8,430.1153846153846,301.1025641025641
9,430.38823529411764,301.15294117647056
10,430.3411764705882,301.0470588235294
11,430.40909090909093,301.10227272727275
12,430.53846153846155,301.35164835164835
13,430.34444444444443,301.26666666666665
14,430.3820224719101,301.2696629213483
15,430.22093023255815,301.19767441860466
16,429.8181818181818,301.3181818181818
17,429.56976744186045,301.27906976744185
18,429.25882352941176,301.0705882352941
19,428.9638554216868,300.6987951807229
20,429.02247191011236,300.9887640449438
21,428.5357142857143,300.91666666666663
22,428.14942528735634,300.9310344827586
23,428.0235294117647,301.21176470588233
24,427.8148148148148,301.2716049382716
25,427.4819277108434,301.67469879518075
26,427.4390243902439,301.7560975609756
27,426.9156626506024,301.45783132530124
28,426.8024691358024,301.55555555555554
29,426.679012345679,301.8641975308642
30,426.51190476190476,301.8928571428571
31,426.3291139240506,301.67088607594934
32,425.98717948717945,301.94871794871796
33,425.7721518987342,302.2278481012658
34,425.79487179487177,302.3333333333333
35,425.6625,302.075
36,425.5365853658537,302.3780487804878
37,425.475,302.325
38,425.4512195121951,302.5609756097561
39,425.48809523809524,302.66666666666663
40,425.39024390243907,302.6707317073171
41,425.20731707317077,302.719512195122
42,425.13750000000005,302.875
43,425.04761904761904,302.79761904761904
44,425.09876543209873,302.5432098765432
45,425.1125,302.625
46,425.1558441558442,302.961038961039
47,425.17721518987344,303.30379746835445
48,425.0595238095238,303.32142857142856
49,425.0243902439025,303.2439024390244
50,425.0120481927711,303.1927710843374
51,425.16049382716045,303.2716049382716
52,425.175,302.9875
53,425.2692307692308,302.8076923076923
54,425.3614457831325,302.855421686747
55,425.4146341463415,302.7926829268293
56,425.5466666666667,302.6933333333333
57,425.5466666666667,302.6933333333333
58,425.5466666666667,302.6933333333333
59,425.49367088607596,302.3291139240506
60,425.5584415584416,302.5974025974026
61,425.6341463414634,302.5975609756098
62,425.5185185185185,302.2469135802469
63,425.5853658536586,302.1951219512195
64,425.4712643678161,302.2528735632184
65,425.3888888888889,301.9777777777778
66,425.5238095238095,302.57142857142856
67,425.30120481927713,302.3132530120482
68,425.23595505617976,302.70786516853934
69,425.2183908045977,303.0344827586207
70,425.2386363636364,303.03409090909093
71,425.1511627906977,302.95348837209303
72,425.1190476190476,302.73809523809524
73,424.97727272727275,303.07954545454544
74,424.8977272727273,303.04545454545456
75,424.82142857142856,302.7857142857143
76,424.25925925925924,304.2098765432099
77,424.13513513513516,304.4594594594595
78,424.13750000000005,304.33750000000003
79,424.1898734177215,304.50632911392404
80,424.2469135802469,303.7654320987654
81,424.13095238095235,304.0595238095238
82,424.0357142857143,304.01190476190476
83,423.7831325301205,303.9759036144578
84,423.7654320987654,303.679012345679
85,423.63095238095235,303.70238095238096
86,423.44943820224717,303.7191011235955
87,423.39534883720927,304.0348837209302
88,423.3820224719101,303.6629213483146
89,423.1685393258427,303.69662921348316
90,422.7906976744186,304.04651162790697
91,422.710843373494,304.4096385542169
92,422.66666666666663,304.2857142857143
93,422.6511627906977,304.06976744186045
94,422.63095238095235,304.2142857142857
95,422.5487804878049,304.5853658536586
96,422.5375,304.475
97,422.2674418604651,303.8255813953488
98,421.83720930232556,304.06976744186045
99,421.8837209302325,303.8139534883721
100,421.85227272727275,303.7613636363636
101,421.54545454545456,304.10227272727275
102,421.33720930232556,303.98837209302326
103,421.17241379310343,303.85057471264366
104,421.2875,303.6875
105,420.9285714285714,303.65476190476187
106,420.8588235294118,303.70588235294116
107,420.65060240963857,303.6024096385542
108,420.4470588235294,303.70588235294116
109,420.61728395061726,303.53086419753083
110,420.609756097561,303.5
111,420.4074074074074,303.5185185185185
112,420.32926829268297,303.4756097560976
113,420.3734939759036,303.3855421686747
114,420.3827160493827,303.3086419753086
115,420.3414634146342,303.2804878048781
116,420.26190476190476,303.32142857142856
117,420.26190476190476,303.32142857142856
118,419.9767441860465,303.40697674418607
119,420.0348837209302,303.2906976744186
120,420.0833333333333,302.98809523809524
121,419.8965517241379,302.94252873563215
122,419.9285714285714,302.69047619047615
123,419.6744186046512,302.7325581395349
124,419.45454545454544,302.8863636363636
125,419.47727272727275,302.95454545454544
126,419.52941176470586,302.9647058823529
127,419.51724137931035,303.0344827586207
128,419.51724137931035,303.0344827586207
129,419.3707865168539,303.2584269662921
130,419.41111111111115,303.1777777777778
131,419.4615384615385,303.28571428571433
132,419.62222222222226,303.0888888888889
133,419.7241379310345,303.0
134,419.56666666666666,303.3
135,419.3258426966292,303.4831460674157
136,419.35955056179773,303.35955056179773
137,419.3409090909091,303.42045454545456
138,419.4673913043478,303.4130434782609
139,419.4022988505747,303.7471264367816
140,419.63750000000005,303.6375
