"time" "x" "y" "speed" "angle"
"1" 0 47.559207488 98.4781498556977 NA NA
"2" 0.2 48.846971264 98.5330949106977 6.44467707074363 NA
"3" 0.4 50.3067844513684 98.7760098906977 7.39942941976464 0.122249417303949
"4" 0.6 50.869420784 99.3450607234754 4.00118261605928 0.626175605063157
"5" 0.8 51.1076541861053 99.6262123206977 1.84256190194012 0.0767773846657678
"6" 1 51.062035024 99.8899325188921 1.33818394556676 0.874240875019826
"7" 1.2 51.272869529946 100.51854189813 3.31512043734262 -0.494895977194601
"8" 1.4 51.418371368 100.754248759073 1.38499557014188 -0.229435187531427
"9" 1.6 51.543570624 100.926257306253 1.06374096948126 -0.0761414808462715
"10" 1.8 51.543570624 100.965527345563 0.196350196546504 0.629184524011562
"11" 2 51.477531456 100.895732275698 0.480430106456035 2.38383807374069
"12" 2.2 51.447263504 100.968992349031 0.396332791448011 -1.99204069618953
"13" 2.4 51.447263504 100.968992349031 0 NA
"14" 2.6 51.323440064 100.774853154698 1.15132826628456 NA
"15" 2.8 51.158342144 100.904889784864 1.05079551261677 -1.67019476008929
"16" 3 50.927205056 100.599028978698 1.91686714587916 1.59081588127837
"17" 3.2 50.9015231573334 100.70189833167 0.530133561002438 -2.24980312518379
"18" 3.4 50.9015231573334 100.70189833167 0 NA
"19" 3.6 50.9015231573334 100.70189833167 0 NA
"20" 3.8 50.8750859087059 100.580606224962 0.620699268255839 NA
"21" 4 50.894185472 100.566061945698 0.120034305237683 1.13458398413002
"22" 4.2 50.9248703379394 100.549411929031 0.174555439095932 0.153664944039798
"23" 4.4 50.9229247395556 100.424120553614 0.626532403529031 -1.08916930421799
"24" 4.6 50.905192 100.434193813698 0.101970660100231 -2.07187203201948
"25" 4.8 50.8977464075294 100.524045138933 0.450796447794918 -0.971516479441331
"26" 5 50.8801215751111 100.41343679292 0.560018770344477 2.90089978721079
"27" 5.2 50.8750859087059 100.580606224962 0.836226299298768 -2.95346256453765
"28" 5.4 50.8750859087059 100.580606224962 0 NA
"29" 5.6 50.8750859087059 100.580606224962 0 NA
"30" 5.8 50.8750859087059 100.580606224962 0 NA
"31" 6 50.8750859087059 100.580606224962 0 NA
"32" 6.2 50.8750859087059 100.580606224962 0 NA
"33" 6.4 50.8750859087059 100.580606224962 0 NA
"34" 6.6 50.85015936 100.566061945698 0.144297339694502 NA
"35" 6.8 50.85015936 100.566061945698 0 NA
"36" 7 50.85015936 100.566061945698 0 NA
"37" 7.2 50.85015936 100.566061945698 0 NA
"38" 7.4 50.8373184106667 100.584376964031 0.111840274088941 NA
"39" 7.6 50.8373184106667 100.584376964031 0 NA
"40" 7.8 50.8373184106667 100.584376964031 0 NA
"41" 8 50.8373184106667 100.584376964031 0 NA
"42" 8.2 50.8373184106667 100.584376964031 0 NA
"43" 8.4 50.8373184106667 100.584376964031 0 NA
"44" 8.6 50.8373184106667 100.584376964031 0 NA
"45" 8.8 50.8373184106667 100.584376964031 0 NA
"46" 9 50.8373184106667 100.584376964031 0 NA
"47" 9.2 50.8373184106667 100.584376964031 0 NA
"48" 9.4 50.8373184106667 100.584376964031 0 NA
"49" 9.6 50.861165888 100.599028978698 0.139944963195966 NA
"50" 9.8 50.861165888 100.599028978698 0 NA
"51" 10 50.8373184106667 100.584376964031 0.139944963195966 NA
"52" 10.2 50.861165888 100.599028978698 0.139944963195966 3.14159265358979
"53" 10.4 50.861165888 100.599028978698 0 NA
"54" 10.6 50.861165888 100.599028978698 0 NA
"55" 10.8 50.861165888 100.599028978698 0 NA
"56" 11 50.861165888 100.599028978698 0 NA
"57" 11.2 50.861165888 100.599028978698 0 NA
"58" 11.4 50.861165888 100.599028978698 0 NA
"59" 11.6 50.861165888 100.599028978698 0 NA
"60" 11.8 50.861165888 100.599028978698 0 NA
"61" 12 50.861165888 100.599028978698 0 NA
"62" 12.2 50.861165888 100.599028978698 0 NA
"63" 12.4 50.861165888 100.599028978698 0 NA
"64" 12.6 50.8373184106667 100.584376964031 0.139944963195966 NA
"65" 12.8 50.861165888 100.599028978698 0.139944963195966 3.14159265358979
"66" 13 50.861165888 100.599028978698 0 NA
"67" 13.2 50.861165888 100.599028978698 0 NA
"68" 13.4 50.861165888 100.599028978698 0 NA
"69" 13.6 50.861165888 100.599028978698 0 NA
"70" 13.8 50.861165888 100.599028978698 0 NA
"71" 14 50.861165888 100.599028978698 0 NA
"72" 14.2 50.861165888 100.599028978698 0 NA
"73" 14.4 50.861165888 100.599028978698 0 NA
"74" 14.6 50.861165888 100.599028978698 0 NA
"75" 14.8 50.861165888 100.599028978698 0 NA
"76" 15 50.8373184106667 100.584376964031 0.139944963195966 NA
"77" 15.2 50.861165888 100.599028978698 0.139944963195966 3.14159265358979
"78" 15.4 50.861165888 100.599028978698 0 NA
"79" 15.6 50.861165888 100.599028978698 0 NA
"80" 15.8 50.861165888 100.599028978698 0 NA
"81" 16 50.861165888 100.599028978698 0 NA
"82" 16.2 50.861165888 100.599028978698 0 NA
"83" 16.4 50.861165888 100.599028978698 0 NA
"84" 16.6 50.861165888 100.599028978698 0 NA
"85" 16.8 50.861165888 100.599028978698 0 NA
"86" 17 50.861165888 100.599028978698 0 NA
"87" 17.2 50.861165888 100.599028978698 0 NA
"88" 17.4 50.861165888 100.599028978698 0 NA
"89" 17.6 50.861165888 100.599028978698 0 NA
"90" 17.8 50.861165888 100.599028978698 0 NA
"91" 18 50.8864161581177 100.648479528198 0.277620828958588 NA
"92" 18.2 50.861165888 100.599028978698 0.277620828958588 3.14159265358979
