position,x0,y0
0,698.2686567164179,208.41044776119404
1,701.9590163934427,205.45081967213116
2,705.2673267326733,201.45544554455446
3,711.4961240310078,194.75968992248062
4,715.3669724770642,191.87155963302754
5,718.5212765957447,188.09574468085106
6,724.9739130434783,183.50434782608696
7,728.9459459459459,180.54954954954954
8,734.5210084033613,176.28571428571428
9,740.978102189781,169.7810218978102
10,744.44,165.56
11,748.0450450450451,161.6216216216216
12,751.1081081081081,158.65765765765767
13,755.7388059701492,152.8507462686567
14,761.7355371900827,146.54545454545456
15,765.2093023255813,143.81395348837208
16,770.4255319148936,139.8368794326241
17,774.9716312056737,135.48936170212767
18,779.9802631578947,132.75
19,784.1038961038962,129.7792207792208
20,789.5629139072847,127.17218543046357
21,793.2222222222222,125.52777777777777
22,797.6845637583892,122.60402684563758
23,802.0588235294117,121.26470588235294
24,806.313725490196,117.87254901960785
25,807.2897196261681,116.9252336448598
26,808.3560606060606,116.87878787878788
27,808.2222222222222,117.77777777777777
28,810.3636363636364,118.46153846153847
29,812.5067567567568,119.45270270270271
30,815.7304964539007,120.19148936170212
31,818.7697368421052,121.17763157894736
32,821.2733812949641,122.67625899280576
33,825.2567567567568,124.31081081081082
34,827.448051948052,127.03246753246754
35,831.0612244897959,128.87074829931973
36,833.8082191780821,131.25342465753423
37,838.0700636942676,134.94904458598728
38,840.5324675324675,137.12337662337663
39,843.6333333333334,139.78666666666666
40,845.4129032258064,142.58064516129033
41,846.7625,145.26250000000002
42,849.9403973509934,148.43046357615893
43,852.5987654320987,151.85185185185185
44,854.440251572327,154.35849056603774
45,856.6306818181819,157.72727272727272
46,858.2453987730062,160.63803680981596
47,861.0404624277456,163.97687861271675
48,864.1369863013698,167.73972602739724
49,866.7052023121387,171.27745664739882
50,868.396449704142,173.99408284023667
51,870.5882352941177,177.4470588235294
52,873.3526011560693,181.62427745664738
53,875.0574712643678,184.816091954023
54,877.3854748603352,188.0055865921788
55,878.8135593220339,191.48022598870057
56,879.7383720930233,194.27906976744185
57,881.4277456647399,197.52023121387282
58,883.0666666666667,201.47272727272727
59,885.5260115606936,205.46242774566474
60,886.9510869565217,207.89673913043478
61,888.6566265060242,210.8132530120482
62,889.9101123595506,213.48876404494382
63,891.0751445086705,216.64161849710982
64,891.8954248366014,219.4575163398693
65,893.1017964071857,223.34131736526948
66,895.0240963855422,228.34337349397592
67,896.7560975609756,232.57926829268294
68,898.5094339622642,236.34591194968556
69,899.8343195266272,240.5207100591716
70,901.8000000000001,244.5888888888889
71,903.1638418079096,248.6497175141243
