"id" "colony" "sex" "treat" "moved" "stop_time" "mean_speed" "Rho" "Mu"
"1" "170526_1" "163" 0 "before" 3567.53794826927 2.2 20.0580966739493 0.908431491616378 0.0768634168480109
"2" "170526_1" "163" 0 "after" 222.597146336779 85.8 2.12137346593844 0.629089482455939 0.0451365066641754
"3" "170526_2" "163" 0 "before" 3258.54099340069 3.4 18.4411221211717 0.902027658202056 0.0223623372595221
"4" "170526_2" "163" 0 "after" 254.186427117562 86.4 2.44184823800102 0.716238009383456 0.0225092139880271
"5" "170526_3" "163" 0 "before" 1186.54635581494 54.8 9.33925851315024 0.785260002959738 0.0250645938239682
"6" "170526_3" "163" 0 "after" 88.4952718732165 164.4 2.17472272893997 0.488504998957086 0.0172960543584271
"7" "170526_4" "163" 0 "before" 3037.99821276576 0.6 16.9314166794574 0.898164770849405 0.0216033455285567
"8" "170526_4" "163" 0 "after" 303.775386599345 103.4 3.80458570693968 0.80799035453448 6.25752500837977
"9" "170526_5" "163" 0 "before" 2131.2099180091 6.2 12.2531677979743 0.859393545866867 0.036210945271412
"10" "170526_5" "163" 0 "after" 91.9891627142988 163 2.64574116444863 0.445364110440528 6.16250130314396
"11" "170526_1" "163" 1 "before" 2825.26032750808 19.2 17.5402034661441 0.871554502403115 0.0559302498297415
"12" "170526_1" "163" 1 "after" 2721.32990543645 4.8 15.5193182031046 0.731882824662652 6.23378846054193
"13" "170526_2" "163" 1 "before" 2080.24177198269 48 15.6366729904948 0.83848351763018 0.0226648012073144
"14" "170526_2" "163" 1 "after" 1105.94932792948 11.2 6.5264248653909 0.601657331545456 0.0884740799684866
"15" "170526_3" "163" 1 "before" 2409.59479389475 11.2 14.250833453764 0.8034148653536 6.2674884284114
"16" "170526_3" "163" 1 "after" 3209.18265223433 0.4 17.8668020350471 0.719525475551154 6.28179797455635
"17" "170526_4" "163" 1 "before" 2385.60336352723 11.4 14.1295166303644 0.87779190587925 6.26807125338453
"18" "170526_4" "163" 1 "after" 2873.63677481887 1.8 16.1197869924195 0.747794164604682 6.23629002425257
"19" "170526_5" "163" 1 "before" 2821.05874554993 11.2 16.6899062825059 0.901491894802087 6.26942160310725
"20" "170526_5" "163" 1 "after" 3281.46295461838 1.2 18.3486516067927 0.857733578778515 0.032060908883832
"21" "170601_1" "168" 0 "before" 33.8697764001063 179.8 0.327989073141166 NA NA
"22" "170601_1" "168" 0 "after" 73.9283456851368 167.6 2.01447256147753 0.457872569246047 5.93761915728086
"23" "170601_1" "168" 1 "before" 1613.27058377105 33.2 10.9220871422242 0.827957794998553 0.0113222806691558
"24" "170601_1" "168" 1 "after" 2100.01747320989 1.8 11.7808832469514 0.763387175087682 0.00249661567605641
"25" "170606_1" "165" 1 "before" 1662.837357697 21 10.4179850686504 0.773026004876863 6.24835324844294
"26" "170606_1" "165" 1 "after" 2958.47032050495 0.8 16.5065329707713 0.759255985329666 0.065869284433709
"27" "170607_1" "168" 0 "before" 2242.93052971303 20.6 14.0292709681276 0.811261717613153 0.00756889436839871
"28" "170607_1" "168" 0 "after" 67.9949430209855 170 2.38115891464499 0.279861744398848 0.0924657126854786
"29" "170607_2" "168" 0 "before" 1825.70716585926 22.8 11.5598688319255 0.808611535960744 0.0490380848087387
"30" "170607_2" "168" 0 "after" 94.6434509762281 154.6 2.05543211405646 0.491136160084409 0.335727771232436
"31" "170607_3" "168" 0 "before" 1991.79822086626 4 11.3063101768104 0.874453090671664 0.0202130430415232
"32" "170607_3" "168" 0 "after" 113.595778137734 144.4 1.85906691058223 0.348570240498786 6.24670226729431
"33" "170607_1" "168" 1 "before" 1903.90382615283 28.2 12.5027127162051 0.788821063833082 6.20932849109711
"34" "170607_1" "168" 1 "after" 3133.84476351794 1 17.5027747667109 0.759543302729491 6.20982005010408
"35" "170607_2" "168" 1 "before" 2168.53329783995 35.6 14.9504571907484 0.827269618233347 6.18342833420044
"36" "170607_2" "168" 1 "after" 2242.4842709337 2.8 12.6466683988629 0.782951716958676 0.0312413684175652
"37" "170607_3" "168" 1 "before" 2761.19358878314 4 15.6741378377683 0.834026586351485 0.0107559992033539
"38" "170607_3" "168" 1 "after" 3033.37660611255 5 17.3218488831124 0.831882023957566 0.0337630887479526
"39" "170608_1" "166" 0 "before" 2347.97903128268 7.4 13.5853644534877 0.837519617868323 0.0222942986874441
"40" "170608_1" "166" 0 "after" 1026.55308758148 15 6.19150158707764 0.846799014140817 0.0163627026548334
"41" "170608_2" "166" 0 "before" 53.9438281639907 173.6 1.79219876148216 0.278111567021622 6.08645691067096
"42" "170608_2" "166" 0 "after" 162.601259784812 111.4 2.1429944221723 0.744726831885194 0.0124745210284249
"43" "170608_3" "166" 0 "before" 2750.34971227836 5.8 15.7786998964059 0.889121651093796 0.00786002035489502
"44" "170608_3" "166" 0 "after" 1050.33945771374 11.6 6.21910911838521 0.872317227496011 0.0340846989685029
"45" "170608_4" "166" 0 "before" 1486.16212991432 47.4 11.0687781658305 0.81673267925862 6.27374883196668
"46" "170608_4" "166" 0 "after" 390.405191588596 40 2.70036564000235 0.714567497034282 6.25461362755668
"47" "170608_1" "166" 1 "before" 1570.9624474293 15.6 9.52651136602169 0.839112427729945 6.28039282406666
"48" "170608_1" "166" 1 "after" 1418.82362044306 0.6 7.90620659107807 0.850745782642644 0.00369848558493562
"49" "170608_2" "166" 1 "before" 1909.25662563835 20.4 11.914681206127 0.854540349217868 6.27489044461891
"50" "170608_2" "166" 1 "after" 3036.01302188082 4.4 17.2817431360156 0.83907639571187 0.0685879562310981
